STATION,NAME,DATE,PRCP,RAIN,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/1/19,0,NO,50,55,45
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/2/19,0,NO,49.5,57,42
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/3/19,0,NO,49.5,55,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/4/19,0,NO,50.5,56,45
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/5/19,0.13,YES,53,56,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/6/19,1.28,YES,53,57,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/7/19,0,NO,54.5,58,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/8/19,0.04,YES,55.5,59,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/9/19,0.06,YES,57.5,61,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/10/19,0,NO,54.5,58,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/11/19,0.29,YES,53.5,57,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/12/19,0,NO,56.5,61,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/13/19,0,NO,54,60,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/14/19,0.01,YES,54.5,57,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/15/19,0.86,YES,53.5,56,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/16/19,1.14,YES,57,61,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/17/19,0.52,YES,55.5,59,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/18/19,0,NO,57,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/19/19,0,NO,60,66,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/20/19,0.21,YES,54,59,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/21/19,0,NO,53,57,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/22/19,0,NO,53,60,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/23/19,0,NO,52.5,59,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/24/19,0,NO,57,66,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/25/19,0,NO,57,65,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/26/19,0,NO,58,66,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/27/19,0,NO,59,66,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/28/19,0,NO,60,66,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/29/19,0,NO,56.5,61,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/30/19,0.08,YES,57,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/31/19,0.51,YES,56.5,60,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/1/19,0.21,YES,55.5,58,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/2/19,0.71,YES,54.5,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/3/19,0.25,YES,52.5,55,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/4/19,0.63,YES,46.5,51,42
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/5/19,0.04,YES,45,50,40
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/6/19,0,NO,48,54,42
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/7/19,0,NO,49,55,43
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/8/19,0.26,YES,48.5,51,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/9/19,0.38,YES,49.5,54,45
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/10/19,0.16,YES,45,50,40
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/11/19,0,NO,48.5,53,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/12/19,0.28,YES,48.5,53,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/13/19,2.49,YES,53.5,60,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/14/19,1,YES,55,62,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/15/19,0.14,YES,50,54,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/16/19,0.13,YES,48,52,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/17/19,0.18,YES,47.5,52,43
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/18/19,0,NO,49,55,43
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/19/19,0,NO,49.5,56,43
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/20/19,0,NO,50.5,54,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/21/19,0,NO,49.5,56,43
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2/22/19,0,NO,50,56,44
